French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
eux,them
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
façon,way
dont,whose
trouve,find
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
